date,day,price,atm_ce_1,atm_pe_1,itm_ce_1,itm_ce_2,itm_ce_3,itm_ce_4,itm_ce_5,itm_pe_1,itm_pe_2,itm_pe_3,itm_pe_4,itm_pe_5,otm_ce_1,otm_ce_2,otm_ce_3,otm_ce_4,otm_ce_5,otm_pe_1,otm_pe_2,otm_pe_3,otm_pe_4,otm_pe_5
19-11-2025,6,25891.25,169.5,139.9,137.8,119.25,98.45,80.8,65.5,166.5,190.5,223.2,252,291.95,137.8,119.25,98.45,80.8,65.5,166.5,190.5,223.2,252,291.95
20-11-2025,5,26089.35,146.65,110.8,120.55,97.55,75.2,58.4,44.75,132.75,156.85,188.6,218.7,255.25,120.55,97.55,75.2,58.4,44.75,132.75,156.85,188.6,218.7,255.25
21-11-2025,4,26107.4,133.9,97.95,107.25,83.85,64.7,48.5,36.25,120.3,148,178.9,212.05,249.7,107.25,83.85,64.7,48.5,36.25,120.3,148,178.9,212.05,249.7
24-11-2025,1,26097.6,105,69.4,77.85,55.8,39.35,25.7,16.15,92.45,120.75,151.85,187.8,227.3,77.85,55.8,39.35,25.7,16.15,92.45,120.75,151.85,187.8,227.3
25-11-2025,0,25934.9,58.9,62.05,38.25,24.55,15.1,9.7,6.3,93.45,127.15,169.5,214.7,261.55,38.25,24.55,15.1,9.7,6.3,93.45,127.15,169.5,214.7,261.55
26-11-2025,6,25955.55,180.25,95.4,150.25,122.4,99.25,80.2,63.35,116.4,139.6,167.2,195.1,229.7,150.25,122.4,99.25,80.2,63.35,116.4,139.6,167.2,195.1,229.7
27-11-2025,5,26225.45,137.45,106.6,110.85,89.25,68.05,51.6,39.15,129.35,153.85,185,221.05,257.45,110.85,89.25,68.05,51.6,39.15,129.35,153.85,185,221.05,257.45
28-11-2025,4,26203.05,123.2,88.6,95.85,72.2,52.65,37.75,26.8,111.45,139.35,171.4,205.65,240.35,95.85,72.2,52.65,37.75,26.8,111.45,139.35,171.4,205.65,240.35
01-12-2025,1,26291.55,86.85,67.2,60.5,40.35,25.6,15.9,9.65,91.7,121.65,155.95,197.65,240.35,60.5,40.35,25.6,15.9,9.65,91.7,121.65,155.95,197.65,240.35
02-12-2025,0,26118.7,62.95,43.9,38,20.75,11.5,6.6,3.9,68.7,102,142.65,187.5,233.15,38,20.75,11.5,6.6,3.9,68.7,102,142.65,187.5,233.15
