id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,German Industrial Production m/m,EUR,2017-01-09T02:00:00Z,None,0.7%,0.5%,0.4%,false,false
,German Trade Balance,EUR,2017-01-09T02:00:00Z,None,20.8B,20.6B,21.7B,false,false
,Retail Sales y/y,CHF,2017-01-09T03:15:00Z,None,0.4%,-0.7%,0.9%,false,false
,Lloyds HPI m/m,GBP,2017-01-09T03:30:00Z,None,0.3%,0.6%,1.7%,false,false
,Italian Monthly Unemployment Rate,EUR,2017-01-09T04:00:00Z,None,11.6%,11.8%,11.9%,false,false
,Sentix Investor Confidence,EUR,2017-01-09T04:30:00Z,None,12.6,10.0,18.2,false,false
,Unemployment Rate,EUR,2017-01-09T05:00:00Z,None,9.8%,9.8%,9.8%,false,false
,Labor Market Conditions Index m/m,USD,2017-01-09T10:00:00Z,None,,2.1,-0.3,false,false
,BOC Business Outlook Survey,CAD,2017-01-09T10:30:00Z,None,,,,false,false
,Consumer Credit m/m,USD,2017-01-09T15:00:00Z,None,18.3B,16.2B,24.5B,false,false
,BRC Retail Sales Monitor y/y,GBP,2017-01-09T19:01:00Z,None,,0.6%,1.0%,false,false
,Retail Sales m/m,AUD,2017-01-09T19:30:00Z,High,0.4%,0.5%,0.2%,false,false
,CPI y/y,CNY,2017-01-09T20:30:00Z,High,2.2%,2.3%,2.1%,false,false
,PPI y/y,CNY,2017-01-09T20:30:00Z,None,4.6%,3.3%,5.5%,false,false
,Consumer Confidence,JPY,2017-01-10T00:00:00Z,None,41.3,40.9,43.1,false,false
,Unemployment Rate,CHF,2017-01-10T01:45:00Z,None,3.3%,3.3%,3.3%,false,false
,French Industrial Production m/m,EUR,2017-01-10T02:45:00Z,None,0.5%,-0.1%,2.2%,false,false
,NFIB Small Business Index,USD,2017-01-10T06:00:00Z,None,99.6,98.4,105.8,false,false
,Housing Starts,CAD,2017-01-10T08:13:00Z,None,187K,187K,207K,false,false
,Building Permits m/m,CAD,2017-01-10T08:30:00Z,None,2.4%,10.5%,-0.1%,false,false
,JOLTS Job Openings,USD,2017-01-10T10:00:00Z,None,5.59M,5.45M,5.52M,false,false
,Final Wholesale Inventories m/m,USD,2017-01-10T10:00:00Z,None,0.9%,0.9%,1.0%,false,false
,API Weekly Statistical Bulletin,USD,2017-01-10T16:30:00Z,None,,,,false,false
,30-y Bond Auction,JPY,2017-01-10T22:45:00Z,None,,0.62|2.9,0.75|3.3,false,false
,Leading Indicators,JPY,2017-01-11T00:00:00Z,None,102.6%,100.8%,102.7%,false,false
,Manufacturing Production m/m,GBP,2017-01-11T04:30:00Z,High,0.6%,-1.0%,1.3%,false,false
,Industrial Production m/m,GBP,2017-01-11T04:30:00Z,None,0.8%,-1.1%,2.1%,false,false
,Construction Output m/m,GBP,2017-01-11T04:30:00Z,None,0.3%,-0.6%,-0.2%,false,false
,Goods Trade Balance,GBP,2017-01-11T04:30:00Z,None,-11.2B,-9.9B,-12.2B,false,false
,German 10-y Bond Auction,EUR,2017-01-11T05:33:00Z,None,,0.21|2.0,0.36|1.8,false,false
,BOE Gov Carney Speaks,GBP,2017-01-11T09:15:00Z,High,,,,false,false
,NIESR GDP Estimate,GBP,2017-01-11T09:38:00Z,None,,0.5%,0.5%,false,false
,RCM/TIPP Economic Optimism,USD,2017-01-11T10:00:00Z,None,53.9,54.8,55.6,false,false
,Crude Oil Inventories,USD,2017-01-11T10:30:00Z,High,0.9M,-7.1M,4.1M,false,false
,President Trump Speaks,USD,2017-01-11T11:00:00Z,High,,,,false,false
,10-y Bond Auction,USD,2017-01-11T13:01:00Z,None,,2.49|2.4,2.34|2.6,false,false
,FOMC Member Dudley Speaks,USD,2017-01-11T13:20:00Z,None,,,,false,false
,Bank Lending y/y,JPY,2017-01-11T18:50:00Z,None,2.4%,2.4%,2.6%,false,false
,Current Account,JPY,2017-01-11T18:50:00Z,None,1.48T,1.93T,1.80T,false,false
,ANZ Commodity Prices m/m,NZD,2017-01-11T19:00:00Z,None,,3.2%,0.7%,false,false
,Economy Watchers Sentiment,JPY,2017-01-12T00:00:00Z,None,49.3,48.6,51.4,false,false
,French Final CPI m/m,EUR,2017-01-12T02:45:00Z,None,0.3%,0.3%,0.3%,false,false
,M2 Money Supply y/y,CNY,2017-01-12T04:00:00Z,None,11.4%,11.4%,11.3%,false,false
,New Loans,CNY,2017-01-12T04:00:00Z,None,676B,795B,1040B,false,false
,Italian Industrial Production m/m,EUR,2017-01-12T04:00:00Z,None,0.2%,0.1%,0.7%,false,false
,Industrial Production m/m,EUR,2017-01-12T05:00:00Z,None,0.5%,0.1%,1.5%,false,false
,10-y Bond Auction,GBP,2017-01-12T05:34:00Z,None,,1.39|2.0,1.16|2.5,false,false
,ECB Monetary Policy Meeting Accounts,EUR,2017-01-12T07:30:00Z,None,,,,false,false
,NHPI m/m,CAD,2017-01-12T08:30:00Z,None,0.3%,0.4%,0.2%,false,false
,Unemployment Claims,USD,2017-01-12T08:30:00Z,High,266K,237K,247K,false,false
,FOMC Member Evans Speaks,USD,2017-01-12T08:30:00Z,None,,,,false,false
,FOMC Member Harker Speaks,USD,2017-01-12T08:30:00Z,None,,,,false,false
,Import Prices m/m,USD,2017-01-12T08:30:00Z,None,0.8%,-0.2%,0.4%,false,false
,Natural Gas Storage,USD,2017-01-12T10:30:00Z,None,-150B,-49B,-151B,false,false
,30-y Bond Auction,USD,2017-01-12T13:01:00Z,None,,3.15|2.4,2.91|2.3,false,false
,Federal Budget Balance,USD,2017-01-12T14:00:00Z,None,-21.0B,-136.7B,-27.5B,false,false
,M2 Money Stock y/y,JPY,2017-01-12T18:50:00Z,None,4.1%,3.9%,4.0%,false,false
,Fed Chair Yellen Speaks,USD,2017-01-12T19:00:00Z,High,,,,false,false
,USD-Denominated Trade Balance,CNY,2017-01-12T21:47:00Z,None,47.6B,44.6B,40.8B,false,false
,Trade Balance,CNY,2017-01-12T21:50:00Z,High,345B,298B,275B,false,false
,German WPI m/m,EUR,2017-01-13T02:00:00Z,None,0.3%,0.1%,1.2%,false,false
,BOE Credit Conditions Survey,GBP,2017-01-13T04:30:00Z,None,,,,false,false
,MPC Member Saunders Speaks,GBP,2017-01-13T04:30:00Z,None,,,,false,false
,Foreign Direct Investment ytd/y,CNY,2017-01-13T06:12:00Z,None,,3.9%,4.1%,false,false
,Core Retail Sales m/m,USD,2017-01-13T08:30:00Z,High,0.5%,0.3%,0.2%,false,false
,PPI m/m,USD,2017-01-13T08:30:00Z,High,0.1%,0.4%,0.3%,false,false
,Retail Sales m/m,USD,2017-01-13T08:30:00Z,High,0.5%,0.2%,0.6%,false,false
,Core PPI m/m,USD,2017-01-13T08:30:00Z,None,0.3%,0.4%,0.2%,false,false
,FOMC Member Harker Speaks,USD,2017-01-13T09:30:00Z,None,,,,false,false
,Prelim UoM Consumer Sentiment,USD,2017-01-13T10:00:00Z,High,98.6,98.2,98.1,false,false
