tag,verdict,failed,note,n,net,avg,wr,pf,tr,ho,yrs_pos,maxdd,avg2x,avg3x
BOLL30 GBPUSD hours16-02 (neighbor),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,2902,-98.3085,-0.0339,0.4793,0.9366,-90.958,-7.3505,8/19,-135.779,-0.0944,-0.151
BOLL30 GBPUSD all-hours (control),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,9735,-588.0248,-0.0604,0.404,0.9007,-484.7346,-103.2903,2/19,-631.1252,-0.1191,-0.174
ROUTE GBPUSD BOLL30 er<0.5 ranging,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1138,-31.7832,-0.0279,0.478,0.9474,-24.7129,-7.0702,10/19,-49.4447,-0.0898,-0.1476
ROUTE GBPUSD BOLL30 er<0.35 deep range,reject,"avg>=floor,holdout+,2x_cost_avg>0",,811,-2.7688,-0.0034,0.4908,0.9934,10.5164,-13.2852,9/19,-28.6022,-0.0667,-0.1258
ROUTE GBPUSD BOLL30 er>=0.5 trending (control),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1303,-89.4725,-0.0687,0.4367,0.8799,-88.3986,-1.0739,5/19,-114.9279,-0.127,-0.1815
EXTREME GBPUSD H1 W48 fade->mid er<0.5,reject,"avg>=floor,train+,2x_cost_avg>0",,1120,-18.348,-0.0164,0.3232,0.976,-42.3888,24.0408,11/19,-71.9453,-0.0478,-0.078
EXTREME GBPUSD H1 W96 fade->mid er<0.5,reject,"avg>=floor,train+,2x_cost_avg>0",,411,8.8748,0.0216,0.2774,1.0296,-8.4924,17.3672,11/19,-48.5094,-0.0098,-0.0401
RSI30 GBPUSD 25/75 both,reject,"avg>=floor,holdout+,2x_cost_avg>0",,496,-22.2501,-0.0449,0.3992,0.9278,0.7713,-23.0214,8/19,-35.8464,-0.1207,-0.1891
RSI30 GBPUSD short-only (deployed shape),reject,"avg>=floor,holdout+,2x_cost_avg>0",,257,1.9162,0.0075,0.4202,1.0125,11.9263,-10.0101,8/19,-15.0375,-0.0697,-0.1584
BOLL30 USDCHF base hours14-24,reject,"avg>=floor,holdout+,2x_cost_avg>0",,2347,-29.8377,-0.0127,0.464,0.9766,5.4171,-35.2549,9/19,-56.1684,-0.102,-0.1828
BOLL30 USDCHF hours12-22 (neighbor),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,2271,-58.7916,-0.0259,0.4302,0.9544,-44.793,-13.9986,8/19,-75.7926,-0.1133,-0.1926
BOLL30 USDCHF hours16-02 (neighbor),reject,"avg>=floor,holdout+,2x_cost_avg>0",,2729,4.2593,0.0016,0.4921,1.003,27.8006,-23.5413,11/19,-59.0675,-0.0882,-0.1695
BOLL30 USDCHF all-hours (control),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,9782,-713.4919,-0.0729,0.4067,0.8807,-581.9586,-131.5333,2/19,-719.6111,-0.158,-0.2351
ROUTE USDCHF BOLL30 er<0.5 ranging,reject,"avg>=floor,holdout+,2x_cost_avg>0",,1140,7.2792,0.0064,0.4877,1.0123,21.7801,-14.5009,12/19,-38.5156,-0.0841,-0.1661
ROUTE USDCHF BOLL30 er<0.35 deep range,reject,"avg>=floor,holdout+,2x_cost_avg>0",,808,35.1864,0.0435,0.5025,1.0858,39.2414,-4.055,11/19,-22.1068,-0.0495,-0.1337
ROUTE USDCHF BOLL30 er>=0.5 trending (control),reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1303,-68.0768,-0.0522,0.4321,0.9088,-42.2487,-25.8281,6/19,-79.7289,-0.1397,-0.2189
EXTREME USDCHF H1 W48 fade->mid er<0.5,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1070,-53.8542,-0.0503,0.3336,0.926,-19.0026,-34.8517,7/19,-84.4781,-0.097,-0.1412
EXTREME USDCHF H1 W96 fade->mid er<0.5,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,393,-44.566,-0.1134,0.2545,0.8512,-34.0607,-10.5052,7/19,-75.8881,-0.1581,-0.2005
RSI30 USDCHF 25/75 both,reject,"avg>=floor,holdout+,2x_cost_avg>0",,522,15.484,0.0297,0.4349,1.0507,17.6224,-2.1384,10/19,-18.6132,-0.0761,-0.1692
RSI30 USDCHF short-only (deployed shape),reject,2x_cost_avg>0,,245,23.8039,0.0972,0.4612,1.1742,14.4953,9.3086,15/19,-27.1003,-0.0071,-0.1222
BOLL-H1 USDCAD both all-hours,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,5006,-275.9496,-0.0551,0.3993,0.9104,-208.3458,-67.6038,4/17,-293.7765,-0.1324,-0.2033
BOLL-H1 USDCAD er<0.5 ranging,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,2474,-176.916,-0.0715,0.4022,0.8829,-175.9444,-0.9717,4/17,-196.7104,-0.1479,-0.2181
F1 neighbor q0.2 pad0.05 stop1.5,PASS,,neighbor,329,99.997,0.3039,0.3313,1.4458,80.4953,19.5017,14/19,-22.7631,0.2823,0.2374
F1 neighbor q0.2 pad0.05 stop2.0,PASS,,neighbor,307,88.9765,0.2898,0.3388,1.4325,69.0749,19.9016,12/19,-24.4559,0.2585,0.2196
F1 neighbor q0.2 pad0.05 stop2.5,PASS,,neighbor,295,86.6548,0.2937,0.3627,1.4598,70.0805,16.5743,14/19,-20.3658,0.269,0.2401
F1 neighbor q0.2 pad0.1 stop1.5,PASS,,neighbor,315,102.3476,0.3249,0.3365,1.4804,82.8371,19.5104,14/19,-20.7146,0.3034,0.2575
F1 neighbor q0.2 pad0.1 stop2.0,PASS,,neighbor,295,87.8703,0.2979,0.339,1.4447,66.9646,20.9057,12/19,-23.5256,0.266,0.2263
F1 neighbor q0.2 pad0.1 stop2.5,PASS,,neighbor,284,88.1167,0.3103,0.3662,1.4874,70.558,17.5587,14/19,-18.3364,0.2946,0.2652
F1 neighbor q0.2 pad0.2 stop1.5,PASS,,neighbor,302,96.012,0.3179,0.3344,1.4688,76.5016,19.5104,16/19,-18.6781,0.288,0.2547
F1 neighbor q0.2 pad0.2 stop2.0,PASS,,neighbor,283,86.7943,0.3067,0.3428,1.4607,68.1933,18.601,14/19,-22.5109,0.2745,0.234
F1 neighbor q0.2 pad0.2 stop2.5,PASS,,neighbor,274,85.7861,0.3131,0.3686,1.494,68.4722,17.3138,14/19,-17.3246,0.2974,0.2675
F1 neighbor q0.25 pad0.05 stop1.5,PASS,,neighbor,381,99.1318,0.2602,0.3202,1.3753,78.688,20.4438,13/19,-21.9682,0.2317,0.1937
F1 neighbor q0.25 pad0.05 stop2.0,PASS,,neighbor,349,101.5644,0.291,0.3381,1.4337,72.7063,28.8581,13/19,-23.6132,0.2617,0.219
F1 neighbor q0.25 pad0.05 stop2.5,PASS,,neighbor,327,83.2027,0.2544,0.3517,1.3911,59.6488,23.554,13/19,-20.9425,0.231,0.2038
F1 neighbor q0.25 pad0.1 stop1.5,PASS,,neighbor,368,100.4915,0.2731,0.3234,1.3958,82.0478,18.4437,13/19,-18.9016,0.2445,0.2061
F1 neighbor q0.25 pad0.1 stop2.0,PASS,,neighbor,339,102.4114,0.3021,0.3392,1.4511,73.5522,28.8593,14/19,-20.563,0.2725,0.229
F1 neighbor q0.25 pad0.1 stop2.5,PASS,,neighbor,318,86.627,0.2724,0.3553,1.4203,63.0911,23.5359,15/19,-17.9022,0.2571,0.2297
F1 neighbor q0.25 pad0.2 stop1.5,PASS,,neighbor,355,97.8387,0.2756,0.3239,1.4,78.3901,19.4486,12/19,-17.8179,0.2469,0.2156
F1 neighbor q0.25 pad0.2 stop2.0,PASS,,neighbor,329,102.3258,0.311,0.3435,1.4675,75.7712,26.5545,14/19,-20.6045,0.2811,0.2369
F1 neighbor q0.25 pad0.2 stop2.5,PASS,,neighbor,309,88.5199,0.2865,0.3625,1.4472,65.2288,23.2911,15/19,-15.88,0.2709,0.2429
F1 neighbor q0.3 pad0.05 stop1.5,PASS,,neighbor,432,119.8291,0.2774,0.3241,1.4032,81.8368,37.9923,14/19,-26.0929,0.2501,0.2146
F1 neighbor q0.3 pad0.05 stop2.0,PASS,,neighbor,390,114.0234,0.2924,0.3385,1.4371,73.9797,40.0437,14/19,-24.6752,0.2646,0.2249
F1 neighbor q0.3 pad0.05 stop2.5,PASS,,neighbor,362,98.1412,0.2711,0.3564,1.4208,63.8202,34.321,15/19,-25.1112,0.2458,0.2197
F1 neighbor q0.3 pad0.1 stop1.5,PASS,,neighbor,417,118.5756,0.2844,0.3261,1.4139,85.2277,33.3479,15/19,-24.0435,0.2571,0.2212
F1 neighbor q0.3 pad0.1 stop2.0,PASS,,neighbor,378,112.6489,0.298,0.3386,1.4445,74.8491,37.7998,15/19,-23.7373,0.27,0.2266
F1 neighbor q0.3 pad0.1 stop2.5,PASS,,neighbor,352,97.3839,0.2767,0.358,1.4284,64.8793,32.5046,15/19,-23.0813,0.2613,0.235
F1 neighbor q0.3 pad0.2 stop1.5,PASS,,neighbor,400,111.9659,0.2799,0.325,1.4068,80.6094,31.3565,14/19,-23.3599,0.2524,0.2225
F1 neighbor q0.3 pad0.2 stop2.0,PASS,,neighbor,366,106.5684,0.2912,0.3388,1.4345,74.0705,32.4979,15/19,-23.6844,0.2628,0.2186
F1 neighbor q0.3 pad0.2 stop2.5,PASS,,neighbor,341,93.6084,0.2745,0.3607,1.427,64.3464,29.262,15/19,-20.8584,0.259,0.2322
F2 trail2.5 maxhold192,PASS,,exit-upgrade,840,122.1126,0.1454,0.375,1.3074,66.0248,56.0878,12/19,-33.0936,0.113,0.0817
F2 trail3.0 maxhold192,PASS,,exit-upgrade,766,147.9391,0.1931,0.3499,1.3666,90.0184,57.9207,14/19,-39.4739,0.1598,0.1276
F2 trail3.5 maxhold192,PASS,,exit-upgrade,718,152.6854,0.2127,0.3468,1.3709,99.1988,53.4867,14/19,-32.8742,0.1787,0.146
F2 trail4.0 maxhold192,PASS,,exit-upgrade,670,176.4744,0.2634,0.3507,1.44,112.6062,63.8682,15/19,-31.7366,0.2286,0.195
F2 trail4.5 maxhold192,PASS,,exit-upgrade,638,196.1131,0.3074,0.3464,1.4995,137.8527,58.2604,14/19,-34.3267,0.2712,0.2364
F2 trail5.0 maxhold192,PASS,,exit-upgrade,615,207.6022,0.3376,0.3252,1.5283,160.8573,46.7449,13/19,-35.9776,0.3008,0.2654
F3 neighbor N16 rr2.5,PASS,,neighbor,1301,110.6448,0.085,0.3221,1.1238,46.3636,64.2812,12/19,-27.2581,0.0747,0.0452
F3 neighbor N16 rr3.0,PASS,,neighbor,1183,145.183,0.1227,0.2959,1.1722,46.9752,98.2078,13/19,-27.2015,0.0946,0.0556
F3 neighbor N16 rr3.5,PASS,,neighbor,1100,131.19,0.1193,0.2736,1.1625,27.7234,103.4667,10/19,-33.2168,0.1027,0.0717
F3 neighbor N24 rr2.5,PASS,,neighbor,1105,144.6696,0.1309,0.3339,1.194,60.5459,84.1236,14/19,-33.3145,0.1171,0.0877
F3 neighbor N24 rr3.0,PASS,,neighbor,1025,146.1042,0.1425,0.2995,1.2011,48.1293,97.9749,13/19,-44.9434,0.1207,0.0949
F3 neighbor N24 rr3.5,PASS,,neighbor,950,149.9064,0.1578,0.2832,1.2182,59.842,90.0644,13/19,-39.4978,0.1455,0.1165
F3 neighbor N32 rr2.5,PASS,,neighbor,1041,133.9191,0.1286,0.3324,1.1902,50.666,83.2531,14/19,-27.2553,0.1102,0.0787
F3 neighbor N32 rr3.0,PASS,,neighbor,972,127.0688,0.1307,0.2953,1.1833,48.5541,78.5146,13/19,-37.4718,0.1023,0.0785
F3 neighbor N32 rr3.5,PASS,,neighbor,902,164.7028,0.1826,0.2871,1.254,85.4721,79.2307,14/19,-34.7358,0.1619,0.1303
