symbol,tf,gate,exit,side,n,tpm,wr,rr,avg,net,tr,ho,stress3x,verdict
EURUSD,M15,adx30,be0.5,long,2742,12.365404444444446,33.07804522246535,1.9258085936811293,-0.016060357403355215,-44.037499999999994,-24.661499999999993,-19.375999999999998,-262.5,FAIL
EURUSD,M15,slope1.0,h20,long,2211,9.970791111111112,49.66078697421981,1.0303844050869961,0.008000316598824064,17.688700000000004,22.362300000000012,-4.6736,-174.9,FAIL
EURUSD,M15,slope1.0,h12,long,2220,10.011377777777778,50.31531531531531,0.9936439951436755,0.0027369369369369388,6.076000000000004,15.9338,-9.8578,-187.6,FAIL
EURUSD,M15,slope1.0,h8,long,2230,10.056474074074075,51.52466367713004,0.9291749197785147,-0.004934843049327356,-11.004700000000003,7.021500000000006,-18.0262,-204.4,FAIL
EURUSD,M15,slope1.0,be0.5,long,2323,10.47586962962963,32.93155402496771,1.9597038167859373,-0.012524924666379677,-29.09539999999999,-18.700200000000002,-10.3952,-221.3,FAIL
EURUSD,M15,slope1.5,h20,long,2734,12.329327407407408,49.524506217995615,1.0417770923081304,0.010746927578639353,29.382099999999994,33.6048,-4.2227000000000015,-206.5,FAIL
EURUSD,M15,slope1.5,h12,long,2747,12.387952592592592,50.345831816527124,0.9996208281025858,0.00590451401528941,16.21970000000001,27.0227,-10.802999999999997,-221.1,FAIL
EURUSD,M15,slope1.5,h8,long,2757,12.433048888888889,51.72288719622779,0.9356676641165715,0.000970330068915484,2.6751999999999896,24.393900000000016,-21.718699999999995,-235.1,FAIL
EURUSD,M15,slope1.5,be0.5,long,2878,12.978714074074075,32.80055594162613,2.0009968009501797,-0.007644405837387074,-22.0006,-8.296799999999998,-13.703799999999998,-256.0,FAIL
EURUSD,M15,atrp0.5,h20,long,2198,9.912165925925926,48.99909008189263,1.065838739808981,0.011892220200181984,26.1391,32.30839999999999,-6.169300000000001,-175.7,FAIL
EURUSD,M15,atrp0.5,h12,long,2205,9.943733333333334,50.385487528344676,1.0103503226464987,0.011596507936507941,25.57030000000001,28.730399999999996,-3.160099999999997,-177.9,FAIL
EURUSD,M15,atrp0.5,h8,long,2214,9.98432,51.76151761517615,0.9547054770842957,0.009792366757000908,21.68030000000001,30.6672,-8.986899999999999,-182.7,FAIL
EURUSD,M15,atrp0.5,be0.5,long,2310,10.417244444444444,32.683982683982684,2.099752642104037,0.006325367965367959,14.611599999999985,17.522999999999996,-2.9114000000000058,-198.9,FAIL
EURUSD,M30,none,h20,long,530,5.5080914988050536,48.679245283018865,1.2429616911213333,0.09013754716981132,47.7729,20.436699999999995,27.3362,4.6,PASS
EURUSD,M30,none,h12,long,530,5.5080914988050536,50.37735849056604,1.1310095443983688,0.07044132075471699,37.3339,13.415499999999998,23.918400000000002,-5.1,FAIL
EURUSD,M30,none,h8,long,530,5.5080914988050536,51.132075471698116,1.0324538983744822,0.03377132075471697,17.898799999999994,5.888699999999999,12.010099999999998,-23.5,FAIL
EURUSD,M30,none,be0.5,long,554,5.757514510071697,29.783393501805055,2.4265322859025034,0.00971444043321299,5.381799999999996,4.723600000000002,0.6581999999999981,-33.0,FAIL
EURUSD,M30,adx25,h20,long,306,3.18014339364971,46.40522875816993,1.1201786436602856,-0.01583464052287582,-4.845400000000001,-9.594999999999999,4.749599999999999,-28.2,FAIL
