id,symbol,tf,family,params,rr_plan,n,tpm,wr,rr_real,avg_r,net,tr,ho,n_ho,stress3x,stress3x_status,verdict,plateau
ZB-PIV5-US30-M15-pad0.1-rr3,US30,M15,PIV5,pad0.1,3.0,1780,38.8967695620962,24.26966292134832,2.957720932497561,-0.0394744703151986,-70.26455716105353,-37.347324772413984,-32.91723238863955,1169,-115.0,Fail,REJECT,0.0
ZB-PIV5-US30-M15-pad0.25-rr2,US30,M15,PIV5,pad0.25,2.0,1914,41.82495333811917,32.07941483803553,1.995184488645257,-0.0391623427229949,-74.95672397181232,-12.149970480724544,-62.806753491087775,1261,-167.6,Fail,REJECT,0.0
ZB-PIV5-US30-M15-pad0.25-rr3,US30,M15,PIV5,pad0.25,3.0,1764,38.54713567839196,24.03628117913832,2.9584356894284447,-0.0485392673936164,-85.62326768233945,-43.149970480724576,-42.473297201614855,1159,-157.2,Fail,REJECT,0.0
"ZB-BOX-US30-M15-N24,tight2.5-rr2",US30,M15,BOX,"N24,tight2.5",2.0,566,12.36829863603733,33.39222614840989,2.0,0.0017667844522968,1.0,-12.0,13.0,377,-20.0,Fail,REJECT,0.25
"ZB-BOX-US30-M15-N24,tight2.5-rr3",US30,M15,BOX,"N24,tight2.5",3.0,562,12.280890165111272,24.02135231316726,2.9899539742334413,-0.0415590987161662,-23.356213478485447,-43.0,19.64378652151456,375,-49.4,Fail,REJECT,0.25
"ZB-BOX-US30-M15-N48,tight2.5-rr2",US30,M15,BOX,"N48,tight2.5",2.0,1,0.0218521177315147,0.0,0.0,-1.0,-1.0,-1.0,0.0,0,-1.0,Fail,REJECT,0.25
"ZB-BOX-US30-M15-N48,tight2.5-rr3",US30,M15,BOX,"N48,tight2.5",3.0,1,0.0218521177315147,0.0,0.0,-1.0,-1.0,-1.0,0.0,0,-1.0,Fail,REJECT,0.25
ZB-CMPX-US30-M15-q0.25-rr2,US30,M15,CMPX,q0.25,2.0,1043,22.79175879396985,30.87248322147651,2.0,-0.0738255033557047,-77.0,-25.0,-52.0,685,-144.0,Fail,REJECT,0.0
ZB-CMPX-US30-M15-q0.25-rr3,US30,M15,CMPX,q0.25,3.0,989,21.61174443646805,22.649140546006063,3.0,-0.0940343781597573,-93.0,-51.0,-42.0,654,-158.0,Fail,REJECT,0.0
ZB-PIV5-US30-M30-pad0.1-rr2,US30,M30,PIV5,pad0.1,2.0,1406,30.72407753050969,32.64580369843528,1.9925883580686248,-0.022998193733414,-32.33546038918022,-46.61984637424479,14.28438598506457,921,-62.7,Fail,REJECT,0.0
ZB-PIV5-US30-M30-pad0.1-rr3,US30,M30,PIV5,pad0.1,3.0,1196,26.135132806891605,25.418060200668897,2.815568808600957,-0.030090732185219,-35.98851569352197,-20.60382845325437,-15.384687240267606,775,-60.2,Fail,REJECT,0.0
ZB-PIV5-US30-M30-pad0.25-rr2,US30,M30,PIV5,pad0.25,2.0,1361,29.740732232591533,32.77002204261573,1.988249800491143,-0.0207279672073518,-28.210763369205853,-58.94544698334688,30.734683614141023,888,-68.6,Fail,REJECT,0.0
ZB-PIV5-US30-M30-pad0.25-rr3,US30,M30,PIV5,pad0.25,3.0,1159,25.32660445082556,25.53925798101812,2.808880086413273,-0.0272097858904458,-31.53614184702672,-34.126933017247914,2.590791170221202,753,-34.0,Fail,REJECT,0.0
"ZB-BOX-US30-M30-N24,tight2.5-rr2",US30,M30,BOX,"N24,tight2.5",2.0,383,8.369361091170138,34.9869451697128,1.9942565097439,0.0475988833046542,18.23037230568259,1.0,17.23037230568259,261,10.0,Pass,WATCH,1.0
"ZB-BOX-US30-M30-N24,tight2.5-rr3",US30,M30,BOX,"N24,tight2.5",3.0,369,8.06343144292893,28.997289972899733,2.837715344359339,0.1128334467383448,41.63554184644926,18.01358648833729,23.62195535811197,251,18.7,Pass,DEPLOY-CANDIDATE,1.0
ZB-CMPX-US30-M30-q0.25-rr2,US30,M30,CMPX,q0.25,2.0,310,6.774156496769563,33.87096774193548,2.0065204063095337,0.018163745350285,5.630761058588373,-4.312321287634779,9.943082346223154,196,3.5,Pass,REJECT,1.0
ZB-CMPX-US30-M30-q0.25-rr3,US30,M30,CMPX,q0.25,3.0,271,5.921923905240488,27.67527675276753,2.89947497924508,0.0788000529754724,21.354814356353028,13.933995751114978,7.42081860523805,171,18.8,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-US30-H1-pad0.1-rr2,US30,H1,PIV5,pad0.1,2.0,1313,16.260260374288038,33.58720487433359,1.9845763386668875,0.0024348610864685,3.1969726065332296,-56.66946942029557,59.8664420268288,496,-24.4,Fail,REJECT,0.75
