SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
NIFTYBETA,Nifty 50,0.25,"35,055",282.50,NIFTY_50,2026-02-23
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,0.25,"6,74,840",32.20,MOMENTUM,2026-02-23
BANKBETA,Nifty Bank,0.24,"9,01,389",63.30,NIFTY_BANK,2026-02-23
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index,0.24,"19,504",41.15,NIFTY_50,2026-02-23
MOSERVICE,Nifty Services Sector Total Return Index,0.24,"1,297",33.13,SERVICES,2026-02-23
AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,0.23,"19,37,972",13.20,,2026-02-23
NIF100BEES,Nifty 100 TRI,0.23,"28,532",277.95,NIFTY_100,2026-02-23
ABSLNN50ET,Nifty Next 50,0.23,"6,358",72.97,NIFTY_50,2026-02-23
ABSLBANETF,Nifty Bank,0.22,"30,891",62.60,NIFTY_BANK,2026-02-23
CPSEETF,CPSE ETF,0.22,"25,23,219",101.85,PSU,2026-02-23
HDFCNIFBAN,Nifty Bank,0.21,"40,509",62.85,NIFTY_BANK,2026-02-23
IDFNIFTYET,Nifty 50,0.21,562,281.73,NIFTY_50,2026-02-23
NV20IETF,Nifty50 Value 20,0.20,"1,99,075",14.98,NIFTY_50,2026-02-23
ALPHA,NIFTY Alpha 50 Index,0.20,"10,00,604",48.92,ALPHA,2026-02-23
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,0.19,"3,49,505",47.32,SMALLCAP,2026-02-23
GROWWPOWER,BSE Power Index - TRI,0.19,"12,94,465",10.43,,2026-02-23
EBANKNIFTY,Edelweiss Nifty Bank ETF,0.18,550,61.50,NIFTY_BANK,2026-02-23
LICNETFN50,Nifty 50,0.18,671,285.74,NIFTY_50,2026-02-23
LTGILTCASE,Nifty 8-13 Yr G-Sec Index,0.17,"79,616",29.85,GSEC,2026-02-23
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI,0.17,"46,406",83.37,DIVIDEND,2026-02-23
MIDSELIETF,S&P BSE Midcap Select Index,0.17,"3,48,712",18.00,NIFTY_MIDCAP,2026-02-23
LICNFNHGP,Nifty 100,0.17,253,286.36,NIFTY_100,2026-02-23
MAHKTECH,Hang Seng TECH Total Return Index,0.16,"9,41,180",24.97,IT,2026-02-23
BANKBETF,Bajaj Finserv Nifty Bank ETF,0.16,"11,194",62.08,NIFTY_BANK,2026-02-23
TOP10ADD,Nifty Top 10 Equal Weight Index,0.16,"19,082",96.37,,2026-02-23
MOREALTY,Motilal Oswal Nifty Realty ETF,0.15,"4,72,559",82.22,REALTY,2026-02-23
AXISBNKETF,Nifty Bank,0.14,610,630.30,NIFTY_BANK,2026-02-23
NEXT50IETF,Nifty Next 50,0.14,"6,16,251",73.16,NIFTY_NEXT_50,2026-02-23
LTGILTBEES,NIFTY 8-13 yr G-Sec Index,0.14,"16,72,295",29.35,GSEC,2026-02-23
SELECTIPO,BSE Select IPO Index,0.14,"4,941",43.32,,2026-02-23
MASPTOP50,S&P 500 Top 50 Total Return Index,0.14,"1,22,134",69.69,,2026-02-23
MAKEINDIA,Nifty India Manufacturing Total Return Index,0.13,"23,095",158.75,MANUFACTURING,2026-02-23
NV20BEES,Nifty50 Value20 TRI,0.13,"9,320",154.20,NIFTY_50,2026-02-23
BANKBEES,Nifty Bank,0.12,"3,53,339",631.99,NIFTY_BANK,2026-02-23
SML100CASE,Nifty Smallcap 100 Index,0.10,"13,99,714",9.63,SMALLCAP,2026-02-23
MOMENTUM30,Nifty 200 Momentum 30 Index,0.10,"11,902",31.60,MOMENTUM,2026-02-23
LICNETFGSC,GSEC10 NSE Index,0.10,"32,255",28.85,GSEC,2026-02-23
BSLNIFTY,Nifty 50,0.10,"2,34,397",29.84,NIFTY_50,2026-02-23
MONQ50,Nasdaq Q-50 Total Return Index,0.08,"90,753",99.00,NASDAQ,2026-02-23
AXISCETF,NIFTY India Consumption Index,0.05,357,120.40,FMCG,2026-02-23
DIVIDEND,BSE 500 Dividend Leaders,0.05,"4,341",36.45,DIVIDEND,2026-02-23
EBBETF0430,Nifty BHARAT Bond,0.05,"9,776","1,571.00",,2026-02-23
CONS,Kotak Nifty India Consumption ETF,0.04,"6,475",120.44,FMCG,2026-02-23
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,0.03,"1,85,76,208",112.87,LIQUID,2026-02-23
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index,0.02,"27,323",64.70,GSEC,2026-02-23
GROWWLIQID,Nifty 1D Rate Index,0.02,"1,91,110",107.97,LIQUID,2026-02-23
SDL26BEES,Nifty SDL Apr 2026 Top 20 Equal Weight Index,0.02,"1,09,174",136.48,,2026-02-23
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,0.01,"7,33,278","1,114.62",LIQUID,2026-02-23
MOPSE,Nifty PSE Total Return Index,0.01,"2,948",105.56,,2026-02-23
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,0.01,"13,19,090","1,092.48",LIQUID,2026-02-23
LIQGRWBEES,Liquid,0.01,"44,058","1,028.91",LIQUID,2026-02-23
SBILIQETF,Nifty 1D Rate Index,0.01,"5,673","1,027.88",LIQUID,2026-02-23
ELIQUID,Nifty 1D Rate Index (Debt Index),0.01,"37,625","1,019.69",LIQUID,2026-02-23
HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF,0.01,"3,333","1,049.41",LIQUID,2026-02-23
LIQUIDSHRI,SHRIRAM NIFTY 1D RATE LIQUID ETF,0.01,"2,368","1,093.21",LIQUID,2026-02-23
CASHIETF,BSE Liquid Rate Index,0.01,"84,038","1,050.76",LIQUID,2026-02-23
LIQUIDPLUS,Nifty 1D Rate Index,0.01,"57,979","1,073.80",LIQUID,2026-02-23
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF,0.01,"5,22,415","1,070.29",LIQUID,2026-02-23
AONELIQUID,Nifty 1D Rate Index,0.01,"11,454","1,048.09",LIQUID,2026-02-23
