cell,cap,runner,frac,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
cap3-extBE-b50@2x,3.0,extBE,0.5,2.0,4377,0.15033127713045466,-0.1994734018141424,-873.0950797405012,2977,-0.18839962231465296,-560.8656756307219,1400,-0.22302100293555668,-312.22940410977935
cap5-sess-b80,5.0,sess,0.8,1.0,4477,0.15925843198570472,-0.09170353423565211,-410.5567227730145,3009,-0.08136973718787173,-244.84153919830604,1468,-0.11288500243508744,-165.71518357470836
cap5-sess-b50,5.0,sess,0.5,1.0,4477,0.15925843198570472,-0.05295541434473683,-237.08139002138677,3009,-0.046407320073109035,-139.6396260999851,1468,-0.06637722337970138,-97.44176392140163
cap5-extBE-b80,5.0,extBE,0.8,1.0,4477,0.15925843198570472,-0.08595891025357302,-384.83804120524644,3009,-0.06636535484765733,-199.69335273660093,1468,-0.12612035999226537,-185.14468846864554
cap5-extBE-b50,5.0,extBE,0.5,1.0,4477,0.15925843198570472,-0.038593854389539176,-172.78468610196688,3009,-0.008896364222573032,-26.76915994572225,1468,-0.09946561727264623,-146.01552615624468
cap5-sess-b80@2x,5.0,sess,0.8,2.0,4472,0.15854203935599284,-0.2382265638108077,-1065.349193361932,3008,-0.24599855275232146,-739.963646678983,1464,-0.22225788707851699,-325.38554668294887
cap5-sess-b50@2x,5.0,sess,0.5,2.0,4472,0.15831842576028624,-0.20528162159906932,-918.019411791038,3008,-0.21802318110764227,-655.813728771788,1464,-0.17910224249948778,-262.2056830192501
cap5-extBE-b80@2x,5.0,extBE,0.8,2.0,4472,0.15854203935599284,-0.2310456470553194,-1033.2361336313884,3008,-0.23512303400340148,-707.2500862822317,1464,-0.2226680651292054,-325.9860473491567
cap5-extBE-b50@2x,5.0,extBE,0.5,2.0,4472,0.15831842576028624,-0.18732932971034869,-837.7367624646793,3008,-0.19083438423534232,-574.0298277799097,1464,-0.18012768762620876,-263.70693468476964
cap7-sess-b80,7.0,sess,0.8,1.0,4510,0.16119733924611973,-0.09637597581867478,-434.6556509422233,3014,-0.08123944207539231,-244.85567841523243,1496,-0.12687163938969978,-189.79997252699087
cap7-sess-b50,7.0,sess,0.5,1.0,4510,0.16119733924611973,-0.05652684222108732,-254.93605841710382,3014,-0.047115590869177465,-142.0063908797009,1496,-0.07548774568008215,-112.92966753740289
cap7-extBE-b80,7.0,extBE,0.8,1.0,4510,0.16119733924611973,-0.08981827531082517,-405.08042165182155,3014,-0.06571285029693502,-198.05853079496217,1496,-0.13838361688292736,-207.02189085685933
cap7-extBE-b50,7.0,extBE,0.5,1.0,4510,0.16119733924611973,-0.04013259095146326,-180.9979851910993,3014,-0.008299111423034293,-25.013521829025358,1496,-0.10426768941315102,-155.98446336207394
cap7-sess-b80@2x,7.0,sess,0.8,2.0,4511,0.1604965639547772,-0.2423593758694409,-1093.2831445470479,3014,-0.24515892479397658,-738.9089993290454,1497,-0.23672287589712915,-354.37414521800235
cap7-sess-b50@2x,7.0,sess,0.5,2.0,4511,0.1602748836178231,-0.20982015897125642,-946.4987371193376,3014,-0.21772317005599598,-656.2176345487719,1497,-0.19390855215134647,-290.2811025705657
cap7-extBE-b80@2x,7.0,extBE,0.8,2.0,4511,0.1604965639547772,-0.2385799666219557,-1076.2342294316422,3014,-0.2352126313051579,-708.9308707537459,1497,-0.24535962503533484,-367.30335867789626
cap7-extBE-b50@2x,7.0,extBE,0.5,2.0,4511,0.1602748836178231,-0.20037163585254342,-903.8764493308233,3014,-0.19285743633394928,-581.2723131105231,1497,-0.21550042499686062,-322.60413622030035
cap9-sess-b80,9.0,sess,0.8,1.0,4523,0.16228167145699757,-0.09904447326614649,-447.9781525827806,3016,-0.07696147378360352,-232.1158049313482,1507,-0.14323977946345873,-215.8623476514323
cap9-sess-b50,9.0,sess,0.5,1.0,4523,0.16228167145699757,-0.059748075635450405,-270.2405460991422,3016,-0.0426951152246381,-128.7684675175085,1507,-0.09387662812318093,-141.47207858163367
cap9-extBE-b80,9.0,extBE,0.8,1.0,4523,0.16228167145699757,-0.08784421898217046,-397.319402456357,3016,-0.061530128561249335,-185.574867740728,1507,-0.1405073223063232,-211.74453471562907
cap9-extBE-b50,9.0,extBE,0.5,1.0,4523,0.16228167145699757,-0.0317474399255104,-143.59367078308352,3016,-0.004116752168752609,-12.416124540957867,1507,-0.08704548523034211,-131.17754624212557
cap9-sess-b80@2x,9.0,sess,0.8,2.0,4522,0.16187527642636002,-0.24345896952630156,-1100.9214601979356,3016,-0.24090894834769294,-726.5813882166419,1506,-0.24856578484813666,-374.3400719812938
cap9-sess-b50@2x,9.0,sess,0.5,2.0,4522,0.16165413533834586,-0.21131481744176267,-955.5656044716508,3016,-0.2133305502783223,-643.40493963942,1506,-0.20727799789656756,-312.16066483223074
cap9-extBE-b80@2x,9.0,extBE,0.8,2.0,4522,0.16187527642636002,-0.23494078447316485,-1062.4022273876515,3016,-0.23105135220216613,-696.8508782417331,1506,-0.2427299795125621,-365.5513491459185
cap9-extBE-b50@2x,9.0,extBE,0.5,2.0,4522,0.16165413533834586,-0.1900193548089209,-859.2675224459404,3016,-0.1886865599145053,-569.078664702148,1506,-0.1926884845576311,-290.1888577437924
cap12-sess-b80,12.0,sess,0.8,1.0,4523,0.16250276365244307,-0.10200395070557797,-461.36386904132917,3014,-0.07509918086307504,-226.34893112130817,1509,-0.15574217224653475,-235.01493792002094
cap12-sess-b50,12.0,sess,0.5,1.0,4523,0.16250276365244307,-0.06310766574823606,-285.4359721792717,3014,-0.04036447395265684,-121.65852449330772,1509,-0.10853376254868388,-163.77744768596398
cap12-extBE-b80,12.0,extBE,0.8,1.0,4523,0.16250276365244307,-0.09227475437575704,-417.3587140415491,3014,-0.05881061453435634,-177.25519220655002,1509,-0.1591143285851551,-240.10352183499904
cap12-extBE-b50,12.0,extBE,0.5,1.0,4523,0.16250276365244307,-0.03878467492368377,-175.4230846798217,3014,0.00035694186913987985,1.075822793587598,1509,-0.11696415339523476,-176.49890747340925
cap12-sess-b80@2x,12.0,sess,0.8,2.0,4523,0.16183948706610657,-0.24699179643896424,-1117.1438952934352,3014,-0.23908213711726578,-720.5935612714391,1509,-0.26279014845725396,-396.55033402199626
cap12-sess-b50@2x,12.0,sess,0.5,2.0,4523,0.16161839487066107,-0.2155420149350895,-974.8965335514099,3014,-0.21107968689750223,-636.1941763090717,1509,-0.22445484244025057,-338.7023572423381
cap12-extBE-b80@2x,12.0,extBE,0.8,2.0,4523,0.16183948706610657,-0.2398970758576733,-1085.0544741042563,3014,-0.22839150273940687,-688.3719892565723,1509,-0.2628777235571132,-396.6824848476838
cap12-extBE-b50@2x,12.0,extBE,0.5,2.0,4523,0.16161839487066107,-0.197805213481862,-894.6729805784619,3014,-0.18435310095285495,-555.6402462719049,1509,-0.2246737801898986,-339.03273430655696
