sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x,tr_avg_3x,va_net_3x
EURUSD,PULL,5,"{'rr': 3.0, 'stop_atr': 1.5, 'sides': 'LS'}",2260,-107.5522919207234,-0.04758950969943514,0.24557522123893805,1460,-69.37903544301494,-0.04751988728973626,800,-38.17325647770846,-0.04771657059713558,-134.73761477856584,5/12,,,,
EURUSD,PULL,6,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'L'}",734,-0.8881465110598867,-0.0012100088706537967,0.29291553133514986,471,9.980337333855239,0.021189675868057832,263,-10.86848384491513,-0.041325033630856,-45.03051765412809,4/12,-0.0003787795585645236,-14.555526013606837,-0.013364131890080178,-18.146383766027256
EURUSD,PULL,7,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'LS'}",1324,-35.59868961977315,-0.026887227809496334,0.2862537764350453,847,-40.0966090725944,-0.04733956206917875,477,4.4979194528212645,0.009429600530023615,-58.95928590560045,4/12,,,,
EURUSD,TSMOM,0,"{'N': 20, 'trail': 3.0, 'sides': 'L'}",51,-1.658912121345928,-0.03252768865384172,0.29411764705882354,33,-0.05607068976720786,-0.001699111811127511,18,-1.602841431578721,-0.08904674619881783,-9.359434625053785,5/11,,,,
EURUSD,TSMOM,1,"{'N': 20, 'trail': 3.0, 'sides': 'LS'}",108,-16.463751247589837,-0.15244214118138738,0.2777777777777778,72,-11.576789126098017,-0.16078873786247247,36,-4.88696212149182,-0.1357489478192172,-15.696787688645777,4/11,,,,
EURUSD,TSMOM,2,"{'N': 20, 'trail': 4.0, 'sides': 'L'}",48,-9.098448390431471,-0.18955100813398898,0.25,32,-5.046123476958763,-0.15769135865496134,16,-4.0523249134727095,-0.25327030709204434,-11.730109139293246,2/11,,,,
EURUSD,TSMOM,3,"{'N': 20, 'trail': 4.0, 'sides': 'LS'}",96,-23.02665029733644,-0.2398609405972546,0.23958333333333334,65,-15.210742429008299,-0.23401142198474306,31,-7.815907868328145,-0.2521260602686498,-23.711559314917768,4/11,,,,
EURUSD,TSMOM,4,"{'N': 55, 'trail': 3.0, 'sides': 'L'}",28,3.6111223664127134,0.1289686559433112,0.2857142857142857,16,6.800768033267586,0.4250480020792241,12,-3.1896456668548705,-0.2658038055712392,-5.063458368675744,5/11,,,,
EURUSD,TSMOM,5,"{'N': 55, 'trail': 3.0, 'sides': 'LS'}",66,-10.68563413584501,-0.1619035475128032,0.2727272727272727,43,-3.0013135188659295,-0.06979798881083557,23,-7.684320616979079,-0.33410089639039475,-13.641197692687536,5/11,,,,
EURUSD,TSMOM,6,"{'N': 55, 'trail': 4.0, 'sides': 'L'}",27,-1.409992122613565,-0.052221930467169074,0.25925925925925924,15,4.77472579566554,0.3183150530443693,12,-6.184717918279106,-0.5153931598565922,-6.184717918279106,5/11,,,,
EURUSD,TSMOM,7,"{'N': 55, 'trail': 4.0, 'sides': 'LS'}",62,-15.957972128631475,-0.25738664723599153,0.24193548387096775,40,-7.122869725604755,-0.17807174314011887,22,-8.83510240302672,-0.40159556377394184,-18.019384356315953,5/11,,,,
EURUSD,AFADE,0,"{'k': 1.5, 'stop_atr': 1.2}",2875,-336.24283469343794,-0.11695402945858711,0.34956521739130436,1891,-214.16519426871488,-0.11325499432507398,984,-122.07764042472309,-0.12406264270805191,-353.7054628827521,2/12,,,,
EURUSD,AFADE,1,"{'k': 1.5, 'stop_atr': 2.0}",2875,-139.36941035218763,-0.048476316644239174,0.47791304347826086,1891,-98.50790301869478,-0.05209302116271538,984,-40.861507333492874,-0.041525922086883,-164.81537283074715,3/12,,,,
EURUSD,AFADE,2,"{'k': 2.0, 'stop_atr': 1.2}",2492,-182.3615592000981,-0.07317879582668463,0.3238362760834671,1639,-82.7223840433905,-0.050471253229646434,853,-99.63917515670758,-0.11681028740528439,-197.8267420718947,2/12,,,,
EURUSD,AFADE,3,"{'k': 2.0, 'stop_atr': 2.0}",2492,-61.43494235391843,-0.024652866113129387,0.44502407704654895,1639,-29.374686544820438,-0.01792232248006128,853,-32.060255809097995,-0.03758529403176787,-84.51537882117613,5/12,,,,
EURUSD,AFADE,4,"{'k': 2.5, 'stop_atr': 1.2}",2110,-98.29279547062556,-0.04658426325622064,0.2976303317535545,1392,-81.33234602268533,-0.058428409499055554,718,-16.960449447940274,-0.023621795888496205,-133.17742476429183,3/12,,,,
EURUSD,AFADE,5,"{'k': 2.5, 'stop_atr': 2.0}",2110,10.085649815046278,0.004779928822296814,0.4184834123222749,1392,-10.81883975516682,-0.007772154996527888,718,20.904489570213087,0.02911488798079817,-46.57947305998596,5/12,,,,
EURUSD,HANDOFF,0,"{'k': 1.5, 'rr': 1.5, 'stop_atr': 1.5}",1949,-197.2724358374681,-0.10121725799767475,0.3776295536172396,1275,-115.23996354693325,-0.09038428513484961,674,-82.03247229053486,-0.1217098995408529,-215.61457662590473,0/12,,,,
EURUSD,HANDOFF,1,"{'k': 1.5, 'rr': 2.5, 'stop_atr': 1.5}",1949,-211.16301099624562,-0.1083442847594898,0.2786044125192406,1275,-148.88733467160307,-0.11677438013459064,674,-62.275676324642575,-0.09239714588225902,-249.83721306996569,2/12,,,,
EURUSD,HANDOFF,2,"{'k': 2.0, 'rr': 1.5, 'stop_atr': 1.5}",1714,-150.40714621184378,-0.08775212731146079,0.38273045507584597,1123,-89.10949627819485,-0.07934950692626434,591,-61.29764993364892,-0.10371852780651256,-164.11059587561653,2/12,,,,
EURUSD,HANDOFF,3,"{'k': 2.0, 'rr': 2.5, 'stop_atr': 1.5}",1714,-159.37479973064586,-0.09298413053129864,0.2829638273045508,1123,-119.39996268166925,-0.10632231761502159,591,-39.97483704897661,-0.06763931818777769,-204.90589626910062,3/12,,,,
EURUSD,HANDOFF,4,"{'k': 2.5, 'rr': 1.5, 'stop_atr': 1.5}",1491,-156.59685513588397,-0.10502807185505296,0.3755868544600939,984,-85.89096710358936,-0.08728756819470464,507,-70.70588803229464,-0.13945934523135037,-171.25834475273362,2/12,,,,
EURUSD,HANDOFF,5,"{'k': 2.5, 'rr': 2.5, 'stop_atr': 1.5}",1491,-154.34382114722882,-0.10351698266078392,0.2796780684104628,984,-107.04679178522204,-0.10878739002563216,507,-47.29702936200677,-0.09328802635504294,-179.55556797768986,2/12,,,,
EURUSD,IBX,0,"{'rr': 2.0, 'sides': 'L'}",600,-20.284160384235584,-0.03380693397372597,0.33,396,11.483775349539233,0.02899943270085665,204,-31.76793573377482,-0.15572517516556283,-59.96941695705082,5/12,-0.020991582701720638,-45.51911613289016,-0.07137550952285376,-48.94446197436298
EURUSD,IBX,1,"{'rr': 2.0, 'sides': 'LS'}",965,-28.354246196530923,-0.0293826385456279,0.33264248704663213,635,39.50833043825912,0.062217843209856884,330,-67.86257663479002,-0.2056441716205758,-87.60571431863744,8/12,0.028251065835743695,-83.03846138315362,0.0009207818915544806,-90.30633926266015
EURUSD,IBX,2,"{'rr': 3.0, 'sides': 'L'}",578,-54.453006434027294,-0.09420935369208874,0.24394463667820068,381,-21.22136688462175,-0.05569912568142192,197,-33.23163954940555,-0.16868852563150025,-99.37248009131207,4/12,,,,
EURUSD,IBX,3,"{'rr': 3.0, 'sides': 'LS'}",892,-14.11711123135973,-0.015826357882690278,0.26681614349775784,585,52.75691153458072,0.09018275475996705,307,-66.87402276594047,-0.217830693048666,-85.74280385787449,5/12,0.04986347703249093,-65.59340343941528,-0.004635089861901042,-81.56149624169154
GBPUSD,ORB,0,"{'open_min': 120, 'rng_min': 30, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",3443,-100.11084210322736,-0.02907663145606371,0.36479814115596865,2016,-46.111973997070066,-0.022873002974737135,1427,-53.9988681061573,-0.03784083259015929,-165.64719841505598,4/12,,,,
GBPUSD,ORB,1,"{'open_min': 120, 'rng_min': 30, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",3442,-157.10818298723927,-0.04564444595794285,0.3169668797210924,2016,-75.79802599601925,-0.0375982271805651,1426,-81.31015699122,-0.05701974543563815,-203.63740144035148,4/12,,,,
GBPUSD,ORB,2,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",3192,-16.419592758259245,-0.00514398269369024,0.3944235588972431,1859,24.15834371889806,0.012995343581978515,1333,-40.57793647715731,-0.030441062623523862,-117.57754619434894,3/12,-0.012740023932746161,-103.57241418519008,-0.056740782900447595,-155.43630669604357
GBPUSD,ORB,3,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",3192,-6.882825755509717,-0.0021562737329291095,0.3681077694235589,1859,28.029353204367418,0.015077650997508024,1333,-34.91217895987712,-0.026190681890380433,-103.64514332919076,6/12,-0.016434400462760283,-104.32996627857538,-0.046000981380560364,-155.8049369821556
GBPUSD,ORB,4,"{'open_min': 480, 'rng_min': 30, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",2837,-99.42942890114271,-0.03504738417382542,0.41170250264363767,1632,-41.98928861466043,-0.02572873076878703,1205,-57.44014028648229,-0.047668166212848376,-130.8551145354947,3/12,,,,
