sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x
GBPUSD,MR3,1,"{'sides': 'L', 'rr': 2.5}",51,-0.09861365385076773,-0.0019336010558974066,0.49019607843137253,32,3.306941296923357,0.10334191552885491,19,-3.405554950774127,-0.17923973425126985,-4.403414763721443,7/11,0.09847459651995416,-3.5149240792244925
GBPUSD,MR3,2,"{'sides': 'LS', 'rr': 1.5}",105,-3.9144172607312955,-0.0372801643879171,0.47619047619047616,61,-1.0908935312378292,-0.01788350051209556,44,-2.823523729493467,-0.06417099385212426,-9.992083214459992,6/11,,
GBPUSD,MR3,3,"{'sides': 'LS', 'rr': 2.5}",103,-3.001054265371774,-0.02913644917836674,0.47572815533980584,59,-1.2273008608951899,-0.020801709506698133,44,-1.7737534044765852,-0.04031257737446785,-9.39545417195578,6/11,,
GBPUSD,RNGX,0,"{'sides': 'L', 'rr': 2.0}",202,-6.0863629118863685,-0.030130509464784003,0.3564356435643564,114,-3.631823338351773,-0.03185809945922608,88,-2.454539573534599,-0.027892495153802262,-22.293844370045186,4/12,,
GBPUSD,RNGX,1,"{'sides': 'L', 'rr': 3.0}",186,3.888200699038113,0.020904304833538244,0.34946236559139787,105,-0.17791279905593727,-0.0016944076100565454,81,4.066113498094049,0.050198932075235174,-17.221322369041076,6/12,,
GBPUSD,RNGX,2,"{'sides': 'LS', 'rr': 2.0}",374,23.36008806189674,0.062460128507745294,0.4037433155080214,216,22.287820442692823,0.10318435390135566,158,1.0722676192039167,0.0067865039190121304,-18.10993296075733,8/12,0.09341558879615135,0.5012299123029749
GBPUSD,RNGX,3,"{'sides': 'LS', 'rr': 3.0}",341,23.263932063998066,0.06822267467448113,0.3812316715542522,198,29.995426384024466,0.151492052444568,143,-6.731494320026405,-0.047073386853331504,-17.99793425731723,7/12,0.14196372907973775,-8.32451744421894
GBPUSD,GAPF,0,{'g_atr': 0.3},108,0.6170543952716405,0.00571346662288556,0.6111111111111112,81,-4.2591513545433575,-0.0525821154881896,27,4.876205749814997,0.180600212956111,-5.682343316794282,5/11,,
GBPUSD,GAPF,1,{'g_atr': 0.5},67,-0.35469688555216783,-0.005293983366450266,0.6119402985074627,57,-1.3040247961399094,-0.02287762800245455,10,0.949327910587742,0.0949327910587742,-5.221892451210489,5/10,,
GBPUSD,GAPF,2,{'g_atr': 0.8},40,-3.708267641612383,-0.09270669104030957,0.55,34,-5.418016793880421,-0.15935343511413003,6,1.7097491522680373,0.2849581920446729,-5.496967811114063,5/9,,
USDJPY,MR3,0,"{'sides': 'L', 'rr': 1.5}",48,14.708137228388235,0.30641952559142155,0.6041666666666666,29,5.879972225528985,0.20275766294927536,19,8.82816500285925,0.46464026330838165,-3.00871134493068,7/11,0.19491664311994653,8.727834005341347
USDJPY,MR3,1,"{'sides': 'L', 'rr': 2.5}",48,16.346381176719575,0.3405496078483245,0.5833333333333334,29,8.509681004232354,0.29343727600801217,19,7.836700172487225,0.4124579038151171,-3.00871134493068,7/11,0.2212640513987284,7.725296916825332
USDJPY,MR3,2,"{'sides': 'LS', 'rr': 1.5}",94,15.085397431092648,0.16048295139460264,0.5425531914893617,60,7.73146788344732,0.12885779805745534,34,7.353929547645326,0.21629204551898018,-6.285938286491369,7/11,0.1215229936719939,7.205246527386405
USDJPY,MR3,3,"{'sides': 'LS', 'rr': 2.5}",94,13.511911468197509,0.14374373902337775,0.5212765957446809,60,6.437469787252941,0.10729116312088235,34,7.074441680944564,0.20807181414542836,-5.794304442944616,6/11,0.06825460937854778,6.895426882193106
USDJPY,RNGX,0,"{'sides': 'L', 'rr': 2.0}",131,17.121483856173597,0.1306983500471267,0.3969465648854962,73,-0.30671613362985894,-0.0042015908716419035,58,17.42819998980346,0.3004862067207493,-14.89273674592087,8/12,,
USDJPY,RNGX,1,"{'sides': 'L', 'rr': 3.0}",124,12.566972343970487,0.10134655116105232,0.33064516129032256,70,-7.453169958121852,-0.10647385654459789,54,20.02014230209234,0.37074337596467294,-17.14209206803318,6/12,,
USDJPY,RNGX,2,"{'sides': 'LS', 'rr': 2.0}",245,12.847809578698,0.05244003909672653,0.3673469387755102,146,17.632831465504697,0.12077281825688149,99,-4.785021886806694,-0.04833355441218883,-22.26788398784283,6/12,0.10373110546284467,-6.194483055568219
USDJPY,RNGX,3,"{'sides': 'LS', 'rr': 3.0}",225,6.390104103132128,0.028400462680587234,0.30666666666666664,134,7.044222917808548,0.05256882774483991,91,-0.654118814676417,-0.007188118842597989,-23.92949597535288,7/12,0.025332383039516366,-1.4149416424235834
USDJPY,GAPF,0,{'g_atr': 0.3},147,-0.5306805993868293,-0.0036100721046723083,0.6258503401360545,106,4.309096751706756,0.04065185614817694,41,-4.839777351093588,-0.11804335002667288,-10.329176496229946,7/11,0.01953179298916179,-5.31905324306892
