pair,tf,t1,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
EURUSD,240,swing,1.0,164,0.3902439024390244,-0.08120313484224065,-13.317314114127466,107,-0.1546812461775647,-16.550893340999423,57,0.05672946012056061,3.2335792268719548
EURUSD,240,swing,0.0,164,0.39634146341463417,-0.05475545060528604,-8.97989389926691,107,-0.13273611365750757,-14.20276416135331,57,0.09162930284362102,5.222870262086398
EURUSD,240,swing,2.0,164,0.38414634146341464,-0.10588509533762447,-17.365155635370414,107,-0.17527538352544453,-18.754466037222564,57,0.02437386669916049,1.389310401852148
EURUSD,240,rr5,1.0,164,0.3902439024390244,-0.0727237174022418,-11.926689653967655,107,-0.14932700332137908,-15.97798935538756,57,0.07107543335824396,4.0512997014199055
EURUSD,240,rr5,0.0,164,0.39634146341463417,-0.04550735287070345,-7.463205870795366,107,-0.12587552952350928,-13.468681659015493,57,0.10535922435473905,6.005475788220125
EURUSD,240,rr5,2.0,164,0.38414634146341464,-0.0973826396708512,-15.970752906019598,107,-0.17127155589303855,-18.326056480555124,57,0.041321115342728525,2.355303574535526
GBPUSD,1,swing,1.0,3738,0.1332263242375602,-0.08914431670803447,-333.22145585463284,2093,0.012411381159552759,25.977020766943923,1645,-0.218357736548071,-359.1984766215768
GBPUSD,1,swing,0.0,3738,0.1337613697164259,0.24914732490279942,931.3127004866642,2093,0.36372277390970703,761.2717657930168,1645,0.10336834935784038,170.04093469364742
GBPUSD,1,swing,2.0,3738,0.1326912787586945,-0.2659942633893885,-994.2865565495341,2093,-0.17782648557080954,-372.19083429970436,1645,-0.37817369133728257,-622.0957222498298
GBPUSD,1,rr5,1.0,3817,0.15719151165837045,-0.13219273809378632,-504.5796813039824,2140,-0.09468126492138566,-202.61790693176533,1677,-0.18006068835552597,-301.96177437221706
GBPUSD,1,rr5,0.0,4028,0.20431976166832175,0.2029957916300357,817.6670486857838,2248,0.22614264116020083,508.36865732813146,1780,0.17376314121216424,309.29839135765235
GBPUSD,1,rr5,2.0,3740,0.13716577540106953,-0.28154727113092975,-1052.9867940296772,2102,-0.24086589802364097,-506.3001176456933,1638,-0.33375254968497176,-546.6866763839837
