cell,depth,runner,frac,cost_mult,med_hold_bars,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
d4-extBE-b80@2x,4.0,extBE,0.8,2.0,3618.0,3264,0.1721813725490196,-0.23702338649545746,-773.6443335211732,2139,-0.27002746430472646,-577.5887461478098,1125,-0.17427163322076744,-196.05558737336338
d4-extBE-b50@2x,4.0,extBE,0.5,2.0,3618.0,3264,0.1715686274509804,-0.19624734104451527,-640.5513211692978,2139,-0.22821700428836553,-488.15617217281385,1125,-0.13546235466354134,-152.395148996484
d4-extCh2-b80@2x,4.0,extCh2,0.8,2.0,45.5,3264,0.1721813725490196,-0.24863948865092955,-811.5592909566341,2139,-0.28307686181901714,-605.5014074308776,1125,-0.18316256313400567,-206.05788352575638
d4-extCh2-b50@2x,4.0,extCh2,0.5,2.0,45.5,3264,0.1715686274509804,-0.22528759643319538,-735.3387147579497,2139,-0.2608404980740922,-557.9378253804832,1125,-0.15768967944663684,-177.40088937746646
d4-extCh3-b80@2x,4.0,extCh3,0.8,2.0,110.5,3264,0.1721813725490196,-0.2507707831349604,-818.5158361525106,2139,-0.2828740121857959,-605.0675120654174,1125,-0.18973184363297166,-213.4483240870931
d4-extCh3-b50@2x,4.0,extCh3,0.5,2.0,110.5,3264,0.1715686274509804,-0.23061583264327234,-752.730077747641,2139,-0.2603333739910391,-556.8530869668327,1125,-0.1741128806940519,-195.8769907808084
d5-sess-b80,5.0,sess,0.8,1.0,0.0,2922,0.18446269678302532,-0.15701498354627294,-458.79778192220954,1915,-0.1890452330924189,-362.02162137198223,1007,-0.09610343649476391,-96.77616055022726
d5-sess-b50,5.0,sess,0.5,1.0,0.0,2922,0.18446269678302532,-0.12203775050857434,-356.5943069860542,1915,-0.16140890182097237,-309.0980469871621,1007,-0.04716609731766853,-47.49625999889221
d5-extBE-b80,5.0,extBE,0.8,1.0,3969.0,2922,0.18446269678302532,-0.133236694867499,-389.3176224028321,1915,-0.17894293649160695,-342.6757233814273,1007,-0.046317675294344406,-46.64189902140482
d5-extBE-b50,5.0,extBE,0.5,1.0,3969.0,2922,0.1841204654346338,-0.06259202881163954,-182.89390818761072,1915,-0.13615316031894237,-260.73330201077465,1007,0.07729830568338031,77.83939382316397
d5-extCh2-b80,5.0,extCh2,0.8,1.0,42.0,2922,0.18446269678302532,-0.15946668418829443,-465.96165119819636,1915,-0.19406327422836356,-371.6311701473162,1007,-0.0936747577466536,-94.33048105088017
d5-extCh2-b50,5.0,extCh2,0.5,1.0,42.0,2922,0.1841204654346338,-0.12816700211362816,-374.5039801760215,1915,-0.17395400466083394,-333.12191892549697,1007,-0.04109440044739272,-41.38206125052447
d5-extCh3-b80,5.0,extCh3,0.8,1.0,113.5,2922,0.18446269678302532,-0.16040484463283816,-468.7029560171531,1915,-0.19413296428797897,-371.76462661147974,1007,-0.09626447805925852,-96.93832940567333
d5-extCh3-b50,5.0,extCh3,0.5,1.0,113.5,2922,0.1841204654346338,-0.1305124032249874,-381.35724222341315,1915,-0.1741282298098725,-333.45556008590586,1007,-0.04756870122890496,-47.901682137507294
d5-sess-b80@2x,5.0,sess,0.8,2.0,0.0,2917,0.17929379499485773,-0.2725839309418548,-795.1273265573905,1911,-0.31664884797087134,-605.1159484723352,1006,-0.1888781094284843,-190.01137808505518
d5-sess-b50@2x,5.0,sess,0.5,2.0,0.0,2917,0.17860815906753513,-0.24476230504356855,-713.9716438120895,1911,-0.29345816164390465,-560.7985469015018,1006,-0.15225953967255232,-153.17309691058765
d5-extBE-b80@2x,5.0,extBE,0.8,2.0,3969.0,2917,0.17929379499485773,-0.2514795941481499,-733.5659761301533,1911,-0.3071261043809614,-586.9179854720172,1006,-0.1457733505548073,-146.64799065813614
d5-extBE-b50@2x,5.0,extBE,0.5,2.0,3969.0,2917,0.17826534110387385,-0.1920014630593064,-560.0682677439968,1911,-0.2696513026691297,-515.3036394007069,1006,-0.044497642488359745,-44.76462834328991
d5-extCh2-b80@2x,5.0,extCh2,0.8,2.0,42.0,2917,0.17929379499485773,-0.2746585289097975,-801.1789288298793,1911,-0.3208960201317707,-613.2322944718138,1006,-0.18682568027640709,-187.94663435806552
d5-extCh2-b50@2x,5.0,extCh2,0.5,2.0,42.0,2917,0.17826534110387385,-0.24994879996342534,-729.1006494933117,1911,-0.30407609204615293,-581.0894119001982,1006,-0.14712846679235933,-148.0112375931135
d5-extCh3-b80@2x,5.0,extCh3,0.8,2.0,111.5,2917,0.17929379499485773,-0.275420637961776,-803.4020009345006,1911,-0.32091312985568543,-613.2649911542148,1006,-0.1890029918293098,-190.13700978028567
