cell,tf,window,floor,sl_mode,body,t1,run,att_scheme,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,tr_avg_2x,va_avg_2x,pass
M5-ldnny-f1-sl1-b0-T1rr3-Rsess-A3e,5,ldnny,1.0,1,0.0,2,0,A3e,4175,-344.6205885958256,-0.08254385355588638,0.2603592814371257,2744,-258.4035012946946,-0.09417037219194409,1431,-86.217087301131,-0.06024953689806499,-352.2986978881099,,,False
M15-all-f1-sl0-b0.25-T1rr3-Rsess-A2sl,15,all,1.0,0,0.25,2,0,A2sl,3338,-233.70857856930274,-0.07001455319631598,0.29119233073696826,2188,-206.35849787250464,-0.09431375588322881,1150,-27.350080696798162,-0.02378267886678101,-244.3703470933874,,,False
M15-nyam-f1-sl0-b0.25-T1rr5-Rchand-A3e,15,nyam,1.0,0,0.25,3,2,A3e,2278,-246.9995726241005,-0.10842825839512753,0.27436347673397715,1495,-141.00100503291353,-0.09431505353372142,783,-105.99856759118695,-0.13537492668095397,-273.59001309708515,,,False
M1-all-f1-sl1-b0-T1m15k2-Rchand-A3e,1,all,1.0,1,0.0,1,2,A3e,6186,-567.0326540633879,-0.09166386260319882,0.1946330423537019,4015,-378.81238974139046,-0.09434928760682203,2171,-188.22026432199743,-0.08669749623307113,-609.2929832094802,,,False
M1-nyam-f1-sl1-b0.25-T1rr5-Rchand-A2sl,1,nyam,1.0,1,0.25,3,2,A2sl,3296,-230.3618581256851,-0.06989134045075397,0.20115291262135923,2119,-199.94345522139736,-0.09435745881141923,1177,-30.41840290428776,-0.02584401266294627,-327.9996719075358,,,False
M5-all-f1-sl1-b0-T1m15k2-Rchand-A2sl,5,all,1.0,1,0.0,1,2,A2sl,4399,-457.8224248443614,-0.10407420432924788,0.27165264832916575,2902,-273.826679751595,-0.09435791859117677,1497,-183.99574509276644,-0.12290964936056542,-458.81434885959067,,,False
M15-all-f1-sl0-b0-T1rr3-Rsess-A2sl,15,all,1.0,0,0.0,2,0,A2sl,3514,-292.5479528567366,-0.08325212090402292,0.27831531018782013,2299,-217.147488502094,-0.09445301805223749,1215,-75.4004643546426,-0.0620579953536153,-301.56260970581775,,,False
M5-nyam-f1-sl1-b0-T1rr3-Rchand-A3e,5,nyam,1.0,1,0.0,2,2,A3e,3631,-296.4250241761886,-0.08163729666102687,0.27760947397411184,2361,-223.23980455248946,-0.09455307266094429,1270,-73.18521962369911,-0.05762615718401505,-346.2348006803612,,,False
M15-all-f1-sl0-b0.25-T1m15k2-Rsess-A2sl,15,all,1.0,0,0.25,1,0,A2sl,3502,-282.3096736573221,-0.08061384170683097,0.3395202741290691,2301,-217.75821344950998,-0.09463633787462407,1201,-64.55146020781213,-0.053748093428652895,-291.67906558980883,,,False
M5-ldnny-f1-sl1-b0-T1rr5-Rsess-A2sl,5,ldnny,1.0,1,0.0,3,0,A2sl,3218,-255.83773266890145,-0.07950209219046037,0.2122436295835923,2114,-200.20396504446697,-0.09470386236729753,1104,-55.633767624434526,-0.050392905456915334,-279.59483062541767,,,False
M15-ldnny-f0-sl1-b0.25-T1rr5-Rchand-A2sl,15,ldnny,0.0,1,0.25,3,2,A2sl,2404,-227.59200932152254,-0.0946722168558746,0.27287853577371046,1599,-151.68479173819065,-0.09486228376372148,805,-75.90721758333194,-0.09429468022774154,-228.36603303483554,,,False
M5-nyam-f1-sl1-b0.25-T1rr5-Rchand-A2sl,5,nyam,1.0,1,0.25,3,2,A2sl,2749,-228.09947389679073,-0.08297543612105883,0.24918152055292833,1794,-170.21992212708068,-0.09488289973638833,955,-57.87955176971009,-0.06060686049184303,-308.02806867067324,,,False
M15-all-f1-sl0-b0-T1rr5-Rchand-A3e,15,all,1.0,0,0.0,3,2,A3e,4419,-392.82455882769966,-0.08889444644211353,0.24417288979407106,2896,-275.00434342618473,-0.09496006333777098,1523,-117.82021540151484,-0.07736061418352912,-402.86371362353543,,,False
M1-ldnny-f1-sl1-b0.25-T1rr5-Rchand-A2sl,1,ldnny,1.0,1,0.25,3,2,A2sl,3744,-377.85023398398437,-0.10092153685469668,0.18376068376068377,2442,-232.19743108766477,-0.09508494311534184,1302,-145.65280289631963,-0.11186851220915486,-393.0081284734073,,,False
M5-nyam-f1-sl1-b0-T1rr5-Rchand-A3e,5,nyam,1.0,1,0.0,3,2,A3e,3547,-261.93714723356703,-0.07384751825023035,0.24217648717225826,2303,-219.15586160395844,-0.09516103413111526,1244,-42.781285629608576,-0.03439010098843133,-353.9370971672601,,,False
M1-nyam-f1-sl0-b0-T1rr3-Rchand-A3e,1,nyam,1.0,0,0.0,2,2,A3e,4303,-433.0099622392718,-0.10062978439211522,0.23727631884731581,2592,-246.68659867109358,-0.09517229887002067,1711,-186.32336356817814,-0.10889734866638115,-477.46249978168066,,,False
M1-ldnny-f1-sl1-b0.25-T1m15k2-Rsess-A2sl,1,ldnny,1.0,1,0.25,1,0,A2sl,3790,-419.07955571690684,-0.11057508066409151,0.22189973614775726,2503,-238.60345493817368,-0.09532698958776416,1287,-180.47610077873316,-0.1402300705351462,-426.56051856819937,,,False
M15-ldnny-f0-sl1-b0-T1m15k2-Rchand-A3e,15,ldnny,0.0,1,0.0,1,2,A3e,3267,-337.3050187192871,-0.10324610306681577,0.3565962656871748,2175,-207.41873389471476,-0.09536493512400679,1092,-129.88628482457233,-0.11894348427158638,-340.719228157323,,,False
